Variable name,Type,Description,
df_std_1,Data Frame,Main dataset,
df_std_unp,Data Frame,Cleaned dataset(After applying oversampling),
df_data_model_0,Data Frame,This is the dataset that is the base for KNN model and Naïve Bayes model, 
df_var_cat_imp,Data Frame,Categorical variable classification,
knn_results,Data Frame,KNN results,
model_nb,Data Frame,Naïve Bayes results,
glm_results,Data Frame,Logistic Regression results,
data_cor,Data Frame,Data Correlation Matrix,
